c01_00	28.000
c01_01	32.200
c01_02	36.400
c01_03	65.667
c02_00	75.733
c02_01	83.733
c02_02	90.733
c02_03	101.733
c02_04	104.933
c02_05	109.133
c02_06	116.733
c02_07	130.733
c02_08	134.733
c02_09	138.933
c03_00	174.267
c04_00	202.300
c04_01	206.500
c04_02	247.300
c04_03	251.500
c05_00	287.367
c05_01	291.567
c05_02	302.367
c05_03	306.367
c05_04	312.367
c05_05	320.367
c05_06	323.367
c05_07	337.367
c05_08	352.367
c06_00	381.833
c06_01	427.833
c06_02	465.833
c06_03	470.833
c06_04	481.833
c06_05	490.833
c06_06	495.033
c07_00	544.867
c07_01	550.867
c07_02	554.067
c07_03	557.267
c07_04	570.867
c07_05	583.867
c07_06	594.867
c08_00	619.233
c08_01	627.233
c09_00	705.867
c09_01	710.067
c09_02	720.867
c11_00	798.133
c11_01	800.333
c11_02	802.533
c11_03	804.733
c11_04	806.933
c11_05	809.133
c11_06	811.333
c11_07	814.133
c11_08	816.333
c11_09	822.133
c11_10	826.333
c11_11	837.133
c12_00	864.133
c12_01	870.133
c12_02	875.333
c12_03	924.133
c12_04	936.133
c14_00	1070.233
c15_00	1091.900
c15_01	1096.100
c15_02	1122.900
c15_03	1135.900
c15_04	1141.900
c15_05	1164.900
c15_06	1178.900
c15_07	1211.900
c16_00	1375.967
c17_00	1394.800
c17_01	1426.800
c17_02	1454.800
c17_03	1496.800
c17_04	1532.800
c17_05	1552.800
c17_06	1574.800
c18_00	1598.400
c18_01	1634.400
c18_02	1646.400
c19_00	1656.433
c19_01	1668.433
c19_02	1704.433
c19_03	1708.633
c19_04	1716.433
c20_00	1731.400
c20_01	1741.400
c20_02	1747.400
c22_00	1788.600
c22_01	1883.267
c22_02	1904.467
c22_03	2006.267
c22_04	2016.267
c22_05	2032.267
c22_06	2040.267
c22_07	2062.267
c22_08	2078.267
c22_09	2116.267
c22_10	2129.267
c22_11	2134.467
c22_12	2145.267
c25_00	2206.700
c26_00	2221.833
c26_01	2231.833
c26_02	2240.033
c26_03	2268.667
c26_04	2274.667
c26_05	2276.667
c26_06	2278.667
c26_07	2280.667
c26_08	2285.667
c26_09	2288.667
c26_10	2290.667
c26_11	2295.667
c26_12	2299.667
c26_13	2305.667
c26_14	2312.667
c26_15	2343.667
c26_16	2348.667
c26_17	2358.667
c26_18	2395.667
c26_19	2413.667
c26_20	2423.867
c26_21	2437.667
c27_00	2488.733
c27_01	2503.733
c29_00	2556.267
c29_01	2562.267
c29_02	2590.267
c29_03	2634.267
c29_04	2646.467
c29_05	2658.267
c31_00	2801.700
c31_01	2811.700
c31_02	2839.700
c32_00	2884.133
c32_01	2916.133
c32_02	2924.133
c32_03	2935.133
c32_04	2966.133
c32_05	2986.133
c32_06	2994.133
c32_07	2997.133
c32_08	3000.133
c32_09	3006.133
c32_10	3013.133
c32_11	3017.133
c32_12	3023.133
c32_13	3030.133
c33_00	3032.567
c33_01	3040.567
c33_02	3052.567
c33_03	3060.567
c33_04	3067.567
c33_05	3092.567
